"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","2.850080","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","5.272372","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","3.221892","0","5"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","33.186371","0","46"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","4.671613","0","88"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","3.143904","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","25.967913","0","33"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","15.033788","0","16"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","12","2","11.690174","0","12"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.042899","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","1.871614","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","9.385009","0","9"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","0.780891","0","2"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","53.106674","0","63"
"/Game/ThridParty_Assets/Modern_House_V1/Materials/M_Texture_3.M_Texture_3","0","3","3","1","1.641518","0","3"
"/Game/ThridParty_Assets/Modern_House_V1/Materials/M_Texture_2.M_Texture_2","0","3","3","1","1.119617","0","3"
"/Game/ThridParty_Assets/Modern_House_V1/Materials/M_Texture_1.M_Texture_1","0","3","3","1","0.000000","0","3"
"/Game/ThridParty_Assets/Modern_House_V1/Materials/M_Color_1.M_Color_1","0","3","3","1","0.000000","0","3"
"/Game/ThridParty_Assets/Modern_House_V1/Materials/M_Glass.M_Glass","0","10","10","1","25.925491","0","10"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","12.406202","0","14"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.569261","0","2"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","3","3","1","2.832469","0","3"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","9","9","3","10.036776","0","9"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","6","6","1","5.509832","0","6"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","3","3","1","2.895577","0","3"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","8","8","1","21.315189","0","8"
"/Game/ThridParty_Assets/Modern_House_V1/Materials/M_Fabric_5.M_Fabric_5","0","9","10","2","9.716057","0","10"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","28.139643","0","36"
